",class,a1,a2,a3,a4,a5,a6"
"0,1,1,1,1,1,3,1"
"1,1,1,1,1,1,3,2"
"2,1,1,1,1,3,2,1"
"3,1,1,1,1,3,3,2"
"4,1,1,1,2,1,2,1"
"5,1,1,1,2,1,2,2"
"6,1,1,1,2,2,3,1"
"7,1,1,1,2,2,4,1"
"8,1,1,1,2,3,1,2"
"9,1,1,2,1,1,1,2"
"10,0,1,2,1,1,2,1"
"11,0,1,2,1,1,3,1"
"12,0,1,2,1,1,4,2"
"13,1,1,2,1,2,1,1"
"14,0,1,2,1,2,3,1"
"15,0,1,2,1,2,3,2"
"16,0,1,2,1,2,4,2"
"17,0,1,2,1,3,2,1"
"18,0,1,2,1,3,4,2"
"19,0,1,2,2,1,2,2"
"20,0,1,2,2,2,3,2"
"21,0,1,2,2,2,4,1"
"22,0,1,2,2,2,4,2"
"23,0,1,2,2,3,2,2"
"24,0,1,2,2,3,3,1"
"25,0,1,2,2,3,3,2"
"26,0,1,3,1,1,2,1"
"27,0,1,3,1,1,4,1"
"28,0,1,3,1,2,2,1"
"29,0,1,3,1,2,4,1"
"30,1,1,3,1,3,1,2"
"31,0,1,3,1,3,2,2"
"32,0,1,3,1,3,3,1"
"33,0,1,3,1,3,4,1"
"34,0,1,3,1,3,4,2"
"35,0,1,3,2,1,2,2"
"36,1,1,3,2,2,1,2"
"37,0,1,3,2,2,2,2"
"38,0,1,3,2,2,3,2"
"39,0,1,3,2,2,4,1"
"40,0,1,3,2,2,4,2"
"41,1,1,3,2,3,1,1"
"42,0,1,3,2,3,2,1"
"43,0,1,3,2,3,4,1"
"44,0,1,3,2,3,4,2"
"45,0,2,1,1,1,3,1"
"46,0,2,1,1,1,3,2"
"47,1,2,1,1,2,1,1"
"48,1,2,1,1,2,1,2"
"49,0,2,1,1,2,2,2"
"50,0,2,1,1,2,3,1"
"51,0,2,1,1,2,4,1"
"52,0,2,1,1,2,4,2"
"53,0,2,1,1,3,4,1"
"54,0,2,1,2,1,2,2"
"55,0,2,1,2,1,3,1"
"56,0,2,1,2,1,4,2"
"57,0,2,1,2,2,3,1"
"58,0,2,1,2,2,4,2"
"59,0,2,1,2,3,2,2"
"60,0,2,1,2,3,4,1"
"61,1,2,2,1,1,2,1"
"62,1,2,2,1,1,2,2"
"63,1,2,2,1,1,3,1"
"64,1,2,2,1,2,3,2"
"65,1,2,2,1,3,1,1"
"66,1,2,2,1,3,1,2"
"67,1,2,2,1,3,2,2"
"68,1,2,2,1,3,3,2"
"69,1,2,2,1,3,4,2"
"70,1,2,2,2,1,1,1"
"71,1,2,2,2,1,3,2"
"72,1,2,2,2,1,4,1"
"73,1,2,2,2,1,4,2"
"74,1,2,2,2,2,2,1"
"75,1,2,2,2,3,4,1"
"76,1,2,3,1,1,1,1"
"77,1,2,3,1,2,1,1"
"78,0,2,3,1,2,3,1"
"79,1,2,3,1,3,1,2"
"80,0,2,3,1,3,3,1"
"81,0,2,3,1,3,4,2"
"82,0,2,3,2,1,3,2"
"83,1,2,3,2,2,1,1"
